ID1 ID2 TopRel LLR OH BirthYear1 BirthYear2 AgeDif Sex1 Sex2 SNPdBoth
f0_104 f1h_148 PO 3.68 0 NA NA NA 3 3 357
f0_142 f1h_373 PO 3.61 0 NA NA NA 3 3 363
f0_193 f1h_213 PO 3.44 0 NA NA NA 3 3 361
f0_24 f1h_474 PO 3.22 0 NA NA NA 3 3 358
f0_516 f1w_75 PO 3.13 0 NA NA NA 3 3 363
f1h_497 f2_152 PO 3.12 0 NA NA NA 3 3 356
f0_73 f1h_455 PO 3.01 0 NA NA NA 3 3 351
f0_348 f1w_130 PO 3 0 NA NA NA 3 3 367
f1h_192 f2_31 PO 2.98 0 NA NA NA 3 3 351
f0_45 f1h_75 PO 2.94 0 NA NA NA 3 3 351
f0_193 f1h_31 PO 2.93 0 NA NA NA 3 3 357
f0_115 f1h_70 PO 2.93 0 NA NA NA 3 3 356
f0_976 f1w_26 PO 2.84 0 NA NA NA 3 3 354
f1w_475 f2_573 PO 2.83 0 NA NA NA 3 3 353
f0_35 f1h_209 PO 2.81 0 NA NA NA 3 3 354
f1w_286 f2_260 PO 2.81 0 NA NA NA 3 3 357
f0_17 f1h_439 PO 2.77 0 NA NA NA 3 3 350
f0_92 f1h_382 PO 2.75 0 NA NA NA 3 3 347
f1h_9 f2_504 PO 2.75 0 NA NA NA 3 3 356
f0_132 f1h_333 PO 2.72 0 NA NA NA 3 3 357
f0_73 f1h_59 PO 2.7 0 NA NA NA 3 3 354
f1w_16 f2_114 PO 2.68 0 NA NA NA 3 3 357
f0_136 f1h_234 PO 2.67 0 NA NA NA 3 3 361
f1h_31 f2_96 PO 2.61 0 NA NA NA 3 3 350
f0_386 f1w_41 PO 2.6 0 NA NA NA 3 3 364
f0_58 f1h_175 PO 2.59 0 NA NA NA 3 3 362
f0_135 f1h_288 PO 2.59 0 NA NA NA 3 3 358
f0_74 f1h_491 PO 2.58 0 NA NA NA 3 3 349
f0_119 f1h_70 PO 2.58 0 NA NA NA 3 3 363
f1w_72 f2_423 PO 2.57 0 NA NA NA 3 3 369
f0_160 f1h_447 PO 2.55 0 NA NA NA 3 3 364
f0_53 f1h_421 PO 2.52 0 NA NA NA 3 3 367
f0_97 f1h_475 PO 2.51 0 NA NA NA 3 3 370
f0_532 f1w_359 PO 2.5 0 NA NA NA 3 3 351
f0_523 f1w_41 PO 2.48 0 NA NA NA 3 3 360
f0_106 f1h_245 PO 2.46 0 NA NA NA 3 3 356
f1h_122 f2_4 PO 2.46 0 NA NA NA 3 3 355
f0_197 f1h_333 PO 2.45 0 NA NA NA 3 3 355
f0_41 f1h_88 PO 2.44 0 NA NA NA 3 3 362
f1w_462 f2_346 PO 2.43 0 NA NA NA 3 3 357
f0_5 f1h_65 PO 2.42 0 NA NA NA 3 3 363
f1w_159 f2_196 PO 2.41 0 NA NA NA 3 3 354
f0_107 f1h_380 PO 2.4 0 NA NA NA 3 3 347
f0_165 f1h_102 PO 2.37 0 NA NA NA 3 3 352
f0_80 f1h_421 PO 2.37 0 NA NA NA 3 3 351
f0_63 f1h_137 PO 2.36 0 NA NA NA 3 3 355
f0_176 f1h_213 PO 2.36 0 NA NA NA 3 3 360
f1h_249 f2_550 PO 2.36 0 NA NA NA 3 3 364
f0_21 f1h_65 PO 2.35 0 NA NA NA 3 3 360
f0_70 f1h_472 PO 2.34 0 NA NA NA 3 3 354
f0_947 f1w_11 PO 2.33 0 NA NA NA 3 3 348
f0_196 f1h_191 PO 2.3 0 NA NA NA 3 3 365
f0_93 f1h_395 PO 2.3 0 NA NA NA 3 3 361
f1w_57 f2_270 PO 2.3 0 NA NA NA 3 3 347
f1w_468 f2_776 PO 2.3 0 NA NA NA 3 3 357
f0_81 f1h_306 PO 2.28 0 NA NA NA 3 3 357
f0_85 f1h_140 PO 2.27 0 NA NA NA 3 3 360
f0_162 f1h_247 PO 2.27 0 NA NA NA 3 3 351
f0_160 f1h_354 PO 2.27 0 NA NA NA 3 3 355
f1h_436 f2_720 PO 2.27 0 NA NA NA 3 3 360
f0_1 f1h_119 PO 2.26 0 NA NA NA 3 3 365
f0_75 f1h_15 PO 2.25 0 NA NA NA 3 3 354
f0_42 f1h_212 PO 2.25 0 NA NA NA 3 3 358
f0_86 f1h_27 PO 2.25 0 NA NA NA 3 3 357
f0_64 f1h_222 PO 2.24 0 NA NA NA 3 3 364
f0_75 f1h_95 PO 2.24 0 NA NA NA 3 3 364
f0_789 f1w_257 PO 2.24 0 NA NA NA 3 3 358
f0_165 f1h_369 PO 2.23 0 NA NA NA 3 3 350
f1h_27 f2_212 PO 2.23 0 NA NA NA 3 3 364
f0_117 f1h_434 PO 2.2 0 NA NA NA 3 3 352
f1h_306 f2_217 PO 2.2 0 NA NA NA 3 3 354
f0_191 f1h_452 PO 2.19 0 NA NA NA 3 3 362
f1h_3 f2_332 PO 2.19 0 NA NA NA 3 3 350
f0_178 f1h_428 PO 2.18 0 NA NA NA 3 3 358
f1w_333 f2_201 PO 2.18 0 NA NA NA 3 3 357
f0_52 f1h_491 PO 2.17 0 NA NA NA 3 3 351
f0_42 f1h_218 PO 2.16 0 NA NA NA 3 3 362
f0_144 f1h_240 PO 2.16 0 NA NA NA 3 3 350
f0_70 f1h_203 PO 2.13 0 NA NA NA 3 3 353
f0_126 f1h_222 PO 2.13 0 NA NA NA 3 3 368
f0_160 f1h_435 PO 2.13 0 NA NA NA 3 3 360
f0_151 f1h_9 PO 2.13 0 NA NA NA 3 3 365
f0_748 f1w_92 PO 2.11 0 NA NA NA 3 3 356
f0_164 f1h_272 PO 2.06 0 NA NA NA 3 3 357
f0_52 f1h_435 PO 2.06 0 NA NA NA 3 3 355
f0_697 f1w_57 PO 2.06 0 NA NA NA 3 3 351
f0_64 f1h_191 PO 2.05 0 NA NA NA 3 3 367
f1h_64 f2_647 PO 2.05 0 NA NA NA 3 3 364
f0_126 f2_879 PO 2.05 0 NA NA NA 3 3 365
f0_74 f1h_140 PO 2.04 0 NA NA NA 3 3 355
f0_63 f1h_40 PO 2.04 0 NA NA NA 3 3 351
f0_481 f1w_388 PO 2.04 0 NA NA NA 3 3 351
f1h_472 f2_143 PO 2.04 0 NA NA NA 3 3 352
f0_103 f1h_115 PO 2.03 0 NA NA NA 3 3 362
f0_223 f1w_344 PO 2.03 0 NA NA NA 3 3 350
f0_150 f1h_497 PO 2.02 0 NA NA NA 3 3 361
f0_155 f1h_278 PO 2.01 0 NA NA NA 3 3 363
f1h_119 f2_803 PO 2.01 0 NA NA NA 3 3 363
f0_20 f1h_306 PO 2 0 NA NA NA 3 3 356
f0_167 f1h_390 PO 2 0 NA NA NA 3 3 357
f0_25 f1h_247 PO 1.99 0 NA NA NA 3 3 346
f0_67 f1h_54 PO 1.99 0 NA NA NA 3 3 352
f1w_80 f2_201 PO 1.99 0 NA NA NA 3 3 356
f1w_35 f2_69 PO 1.99 0 NA NA NA 3 3 349
f1h_27 f2_825 PO 1.99 0 NA NA NA 3 3 363
f1w_128 f2_308 PO 1.98 0 NA NA NA 3 3 357
f0_21 f1h_107 PO 1.97 0 NA NA NA 3 3 359
f0_33 f1h_119 PO 1.97 0 NA NA NA 3 3 367
f0_89 f1h_451 PO 1.97 0 NA NA NA 3 3 353
f0_129 f1h_199 PO 1.96 0 NA NA NA 3 3 353
f0_7 f1h_229 PO 1.96 0 NA NA NA 3 3 340
f1w_407 f2_385 PO 1.96 0 NA NA NA 3 3 354
f1h_348 f2_196 PO 1.95 0 NA NA NA 3 3 355
f0_49 f1h_398 PO 1.94 0 NA NA NA 3 3 360
f0_48 f1h_137 PO 1.93 0 NA NA NA 3 3 359
f0_93 f1h_372 PO 1.92 0 NA NA NA 3 3 363
f0_31 f1h_271 PO 1.91 0 NA NA NA 3 3 356
f0_14 f1h_124 PO 1.9 0 NA NA NA 3 3 353
f0_651 f1w_80 PO 1.9 0 NA NA NA 3 3 346
f1h_40 f2_125 PO 1.9 0 NA NA NA 3 3 355
f0_71 f1h_124 PO 1.89 0 NA NA NA 3 3 351
f0_31 f1h_190 PO 1.89 0 NA NA NA 3 3 352
f0_68 f1h_54 PO 1.89 0 NA NA NA 3 3 355
f0_3 f1h_240 PO 1.88 0 NA NA NA 3 3 358
f0_119 f1h_439 PO 1.88 0 NA NA NA 3 3 352
f1h_436 f2_547 PO 1.88 0 NA NA NA 3 3 360
f0_191 f1h_241 PO 1.87 0 NA NA NA 3 3 369
f0_100 f1h_103 PO 1.86 0 NA NA NA 3 3 363
f0_52 f1h_88 PO 1.86 0 NA NA NA 3 3 359
f0_73 f1h_326 PO 1.85 0 NA NA NA 3 3 352
f0_646 f1w_468 PO 1.85 0 NA NA NA 3 3 354
f1w_468 f2_710 PO 1.84 0 NA NA NA 3 3 360
f0_125 f1h_337 PO 1.83 0 NA NA NA 3 3 356
f1w_25 f2_254 PO 1.83 0 NA NA NA 3 3 350
f1w_214 f2_489 PO 1.83 0 NA NA NA 3 3 362
f0_40 f1h_10 PO 1.81 0 NA NA NA 3 3 349
f0_78 f1h_59 PO 1.81 0 NA NA NA 3 3 351
f0_60 f1h_434 PO 1.8 0 NA NA NA 3 3 349
f0_83 f1h_190 PO 1.79 0 NA NA NA 3 3 346
f0_100 f1h_279 PO 1.79 0 NA NA NA 3 3 362
f0_77 f1h_40 PO 1.79 0 NA NA NA 3 3 348
f0_269 f1w_93 PO 1.79 0 NA NA NA 3 3 372
f0_25 f1h_348 PO 1.78 0 NA NA NA 3 3 344
f0_165 f1h_428 PO 1.78 0 NA NA NA 3 3 343
f0_126 f1h_62 PO 1.78 0 NA NA NA 3 3 363
f0_176 f1h_103 PO 1.75 0 NA NA NA 3 3 361
f0_48 f1h_476 PO 1.75 0 NA NA NA 3 3 353
f0_150 f1h_62 PO 1.75 0 NA NA NA 3 3 354
f1w_76 f2_854 PO 1.75 0 NA NA NA 3 3 354
f0_200 f1h_369 PO 1.72 0 NA NA NA 3 3 363
f0_94 f1h_379 PO 1.72 0 NA NA NA 3 3 351
f0_51 f1h_451 PO 1.72 0 NA NA NA 3 3 360
f0_58 f1h_475 PO 1.72 0 NA NA NA 3 3 369
f1w_76 f2_547 PO 1.72 0 NA NA NA 3 3 364
f0_144 f1h_272 PO 1.71 0 NA NA NA 3 3 365
f0_51 f1h_381 PO 1.71 0 NA NA NA 3 3 360
f0_148 f1h_398 PO 1.7 0 NA NA NA 3 3 353
f0_94 f1h_399 PO 1.69 0 NA NA NA 3 3 355
f0_161 f1h_75 PO 1.69 0 NA NA NA 3 3 359
f1h_124 f2_109 PO 1.69 0 NA NA NA 3 3 349
